Timestamp (ms),Oxygen %
2714152, 20.80
2715302, 20.80
2716452, 20.80
2717602, 20.80
2718752, 20.80
2719902, 20.80
2721052, 20.80
2722202, 20.80
2723352, 20.80
2724502, 20.80
2725652, 20.80
2726802, 20.80
2727952, 20.80
2729102, 20.80
2730252, 20.80
2731402, 20.80
2732552, 20.80
2733702, 20.80
2734852, 20.80
2736002, 20.80
2737152, 20.80
2738302, 20.80
2739452, 20.80
2740602, 20.80
2741752, 20.80
2742902, 20.80
2744052, 20.80
2745202, 20.80
2746352, 20.80
2747502, 20.80
2748652, 20.80
2749802, 20.80
2750952, 20.80
2752102, 20.80
2753252, 20.80
2754402, 20.80
2755552, 20.80
2756702, 20.80
2757852, 20.80
2759002, 20.80
2760152, 20.80
2761302, 20.80
2762452, 20.80
2763602, 20.80
2764752, 20.80
2765902, 20.80
2767052, 20.80
2768202, 20.80
2769352, 20.80
2770502, 20.80
2771652, 20.80
2772802, 20.80
2773952, 20.80
2775102, 20.80
2776252, 20.80
2777402, 20.80
2778552, 20.80
2779702, 20.80
2780852, 20.80
2782002, 20.80
2783152, 20.80
2784302, 20.80
2785452, 20.80
2786602, 20.80
2787752, 20.80
2788902, 20.80
2790052, 20.80
2791202, 20.80
2792352, 20.80
2793502, 20.80
2794652, 20.80
2795802, 20.80
2796952, 20.80
2798102, 20.80
2799252, 20.80
2800402, 20.80
2801552, 20.80
2802702, 20.80
2803852, 20.80
2805002, 20.80
2806152, 20.80
2807302, 20.80
2808452, 20.80
2809602, 20.80
2810752, 20.80
2811902, 20.80
2813052, 20.80
2814202, 20.80
2815352, 20.80
2816502, 20.80
2817652, 20.80
2818802, 20.81
2819952, 20.81
2821102, 20.81
2822252, 20.81
2823402, 20.81
2824552, 20.80
2825702, 20.80
2826852, 20.80
2828002, 20.80
2829152, 20.80
2830302, 20.80
2831452, 20.80
2832602, 20.80
2833752, 20.80
2834902, 20.80
2836052, 20.80
2837202, 20.80
2838352, 20.80
2839502, 20.80
2840652, 20.80
2841802, 20.80
2842952, 20.80
2844102, 20.80
2845252, 20.81
2846402, 20.81
2847552, 20.81
2848702, 20.81
2849852, 20.81
2851002, 20.81
2852152, 20.81
2853302, 20.81
2854452, 20.81
2855602, 20.81
2856752, 20.81
2857902, 20.81
2859052, 20.80
2860202, 20.80
2861352, 20.80
2862502, 20.80
2863652, 20.80
2864802, 20.80
2865952, 20.80
2867102, 20.80
2868252, 20.80
2869402, 20.80
2870552, 20.80
2871702, 20.80
2872852, 20.80
2874002, 20.80
2875152, 20.80
2876302, 20.80
2877452, 20.80
2878602, 20.80
2879752, 20.80
2880902, 20.80
2882052, 20.80
2883202, 20.80
2884352, 20.80
2885502, 20.80
2886652, 20.80
2887802, 20.80
2888952, 20.80
2890102, 20.80
2891252, 20.80
2892402, 20.80
2893552, 20.80
2894702, 20.80
2895852, 20.80
2897002, 20.80
2898152, 20.80
2899302, 20.80
2900452, 20.80
2901602, 20.80
2902752, 20.80
2903902, 20.81
2905052, 20.81
2906202, 20.81
2907352, 20.81
2908502, 20.81
2909652, 20.81
2910802, 20.81
2911952, 20.81
2913102, 20.81
2914252, 20.81
2915402, 20.80
2916552, 20.80
2917702, 20.80
2918852, 20.80
2920002, 20.80
2921152, 20.80
2922302, 20.80
2923452, 20.80
2924602, 20.80
2925752, 20.80
2926902, 20.80
2928052, 20.80
2929202, 20.80
2930352, 20.80
2931502, 20.80
2932652, 20.80
2933802, 20.80
2934952, 20.80
2936102, 20.80
2937252, 20.80
2938402, 20.80
2939552, 20.80
2940702, 20.80
2941852, 20.80
2943002, 20.80
2944152, 20.80
2945302, 20.80
2946452, 20.80
2947602, 20.80
2948752, 20.80
2949902, 20.80
2951052, 20.80
2952202, 20.80
2953352, 20.80
2954502, 20.80
2955652, 20.80
2956802, 20.80
2957952, 20.80
2959102, 20.80
2960252, 20.80
2961402, 20.80
2962552, 20.80
2963702, 20.80
2964852, 20.80
2966002, 20.80
2967152, 20.80
2968302, 20.80
2969452, 20.80
2970602, 20.80
2971752, 20.80
2972902, 20.80
2974052, 20.80
2975202, 20.80
2976352, 20.80
2977502, 20.80
2978652, 20.80
2979802, 20.80
2980952, 20.80
2982102, 20.80
2983252, 20.80
2984402, 20.80
2985552, 20.80
2986702, 20.80
2987852, 20.80
2989002, 20.80
2990152, 20.80
2991302, 20.80
2992452, 20.80
2993602, 20.80
2994752, 20.80
2995902, 20.80
2997052, 20.80
2998202, 20.80
2999352, 20.80
3000502, 20.80
3001652, 20.80
3002802, 20.80
3003952, 20.80
3005102, 20.80
3006252, 20.80
3007402, 20.80
3008552, 20.80
3009702, 20.80
3010852, 20.80
3012002, 20.80
3013152, 20.80
3014302, 20.80
3015452, 20.80
3016602, 20.80
3017752, 20.80
3018902, 20.80
3020052, 20.80
3021202, 20.80
3022352, 20.80
3023502, 20.80
3024652, 20.80
3025802, 20.80
3026952, 20.80
3028102, 20.81
3029252, 20.81
3030402, 20.81
3031552, 20.81
3032702, 20.81
3033852, 20.80
3035002, 20.81
3036152, 20.81
3037302, 20.81
3038452, 20.81
3039602, 20.80
3040752, 20.80
3041902, 20.80
3043052, 20.80
3044202, 20.80
3045352, 20.80
3046502, 20.80
3047652, 20.80
3048802, 20.80
3049952, 20.80
3051102, 20.80
3052252, 20.80
3053402, 20.80
3054552, 20.80
3055702, 20.80
3056852, 20.80
3058002, 20.80
3059152, 20.80
3060302, 20.80
3061452, 20.80
3062602, 20.80
3063752, 20.81
3064902, 20.80
3066052, 20.80
3067202, 20.80
3068352, 20.80
3069502, 20.80
3070652, 20.80
3071802, 20.80
3072952, 20.80
3074102, 20.80
3075252, 20.80
3076402, 20.80
3077552, 20.80
3078702, 20.80
3079852, 20.80
3081002, 20.80
3082152, 20.80
3083302, 20.80
3084452, 20.80
3085602, 20.80
3086752, 20.80
3087902, 20.80
3089052, 20.80
3090202, 20.80
3091352, 20.80
3092502, 20.80
3093652, 20.80
3094802, 20.80
3095952, 20.80
3097102, 20.80
3098252, 20.80
3099402, 20.80
3100552, 20.80
3101702, 20.80
3102852, 20.80
3104002, 20.80
3105152, 20.80
3106302, 20.80
3107452, 20.80
3108602, 20.80
3109752, 20.80
3110902, 20.80
3112052, 20.80
3113202, 20.80
3114352, 20.80
3115502, 20.80
3116652, 20.80
3117802, 20.80
3118952, 20.80
3120102, 20.80
3121252, 20.80
3122402, 20.80
3123552, 20.80
3124702, 20.80
3125852, 20.80
3127002, 20.80
3128152, 20.80
3129302, 20.80
3130452, 20.80
3131602, 20.80
3132752, 20.80
3133902, 20.80
3135052, 20.80
3136202, 20.80
3137352, 20.80
3138502, 20.80
3139652, 20.80
3140802, 20.80
3141952, 20.80
3143102, 20.80
3144252, 20.80
3145402, 20.81
3146552, 20.81
3147702, 20.80
3148852, 20.80
3150002, 20.81
3151152, 20.81
3152302, 20.81
3153452, 20.81
3154602, 20.81
3155752, 20.81
3156902, 20.80
3158052, 20.80
3159202, 20.80
3160352, 20.80
3161502, 20.80
3162652, 20.80
3163802, 20.80
3164952, 20.80
3166102, 20.80
3167252, 20.80
3168402, 20.80
3169552, 20.80
3170702, 20.80
3171852, 20.80
3173002, 20.80
3174152, 20.80
3175302, 20.80
3176452, 20.80
3177602, 20.80
3178752, 20.80
3179902, 20.80
3181052, 20.80
3182202, 20.80
3183352, 20.80
3184502, 20.80
3185652, 20.80
3186802, 20.80
3187952, 20.80
3189102, 20.80
3190252, 20.80
3191402, 20.80
3192552, 20.80
3193702, 20.80
3194852, 20.80
3196002, 20.80
3197152, 20.80
3198302, 20.80
3199452, 20.80
3200602, 20.80
3201752, 20.80
3202902, 20.80
3204052, 20.80
3205202, 20.80
3206352, 20.81
3207502, 20.81
3208652, 20.81
3209802, 20.81
3210952, 20.81
3212102, 20.81
3213252, 20.81
3214402, 20.81
3215552, 20.81
3216702, 20.80
3217852, 20.80
3219002, 20.80
3220152, 20.80
3221302, 20.80
3222452, 20.80
3223602, 20.80
3224752, 20.80
3225902, 20.80
3227052, 20.80
3228202, 20.80
3229352, 20.80
3230502, 20.80
3231652, 20.80
3232802, 20.80
3233952, 20.80
3235102, 20.80
3236252, 20.80
3237402, 20.80
3238552, 20.80
3239702, 20.80
3240852, 20.80
3242002, 20.80
3243152, 20.80
3244302, 20.80
3245452, 20.80
3246602, 20.80
3247752, 20.80
3248902, 20.80
3250052, 20.80
3251202, 20.80
3252352, 20.80
3253502, 20.80
3254652, 20.80
3255802, 20.80
3256952, 20.81
3258102, 20.81
3259252, 20.81
3260402, 20.81
3261552, 20.81
3262702, 20.80
3263852, 20.80
3265002, 20.81
3266152, 20.80
3267302, 20.80
3268452, 20.80
3269602, 20.80
3270752, 20.80
3271902, 20.80
3273052, 20.80
3274202, 20.81
3275352, 20.81
3276502, 20.81
3277652, 20.81
3278802, 20.81
3279952, 20.81
3281102, 20.81
3282252, 20.81
3283402, 20.81
3284552, 20.81
3285702, 20.81
3286852, 20.81
3288002, 20.81
3289152, 20.81
3290302, 20.81
3291452, 20.80
3292602, 20.80
3293752, 20.80
3294902, 20.80
3296052, 20.80
3297202, 20.80
3298352, 20.80
3299502, 20.80
3300652, 20.80
3301802, 20.80
3302952, 20.80
3304102, 20.80
3305252, 20.80
3306402, 20.81
3307552, 20.81
3308702, 20.81
3309852, 20.81
3311002, 20.81
3312152, 20.81
3313302, 20.80
3314452, 20.80
3315602, 20.80
3316752, 20.80
3317902, 20.80
3319052, 20.80
3320202, 20.80
3321352, 20.80
3322502, 20.80
3323652, 20.80
3324802, 20.80
3325952, 20.80
3327102, 20.80
3328252, 20.80
3329402, 20.80
3330552, 20.80
3331702, 20.80
3332852, 20.80
3334002, 20.80
3335152, 20.80
3336302, 20.80
3337452, 20.80
3338602, 20.80
3339752, 20.80
3340902, 20.80
3342052, 20.80
3343202, 20.80
3344352, 20.80
3345502, 20.80
3346652, 20.80
3347802, 20.80
3348952, 20.80
3350102, 20.80
3351252, 20.80
3352402, 20.80
3353552, 20.80
3354702, 20.80
3355852, 20.80
3357002, 20.80
3358152, 20.80
3359302, 20.80
3360452, 20.80
3361602, 20.80
3362752, 20.80
3363902, 20.80
3365052, 20.80
3366202, 20.80
3367352, 20.80
3368502, 20.80
3369652, 20.80
3370802, 20.80
3371952, 20.80
3373102, 20.80
3374252, 20.80
3375402, 20.80
3376552, 20.80
3377702, 20.80
3378852, 20.80
3380002, 20.80
3381152, 20.80
3382302, 20.80
3383452, 20.80
3384602, 20.80
3385752, 20.80
3386902, 20.80
3388052, 20.80
